index	base_number	proposed_plaintext	R1040_raw_variants
111	396	aan	3^__ 9^__ 6
112	598	z	5 9 8 | 5^_ 9^_ 8
113	654	i	6^'' 5 4
115	446	h	4^_ 4^_ 6
116	97	zelf	9^__ 7^__
117	447	over	4 4 7
118	299	lie	2 9 9 | 2 9^' 9 | 2 9^__ 9 | 2^' 9 9 | 2^'' 9 9 | 2^__ 9^__ 9
123	696	h	6 9 6 | 6 9^' 6 | 6^_ 9^_ 6
124	317	ter	3 1 7 | 3^_ 1^_ 7
125	41	ge	4 1^_
126	575	inform	5 7 5 | 5 7^' 5 | 5^' 7 5 | 5^_ 7^_ 5^_
128	149	te	1 4^_ 9 | 1 4^__ 9^__ | 1^' 4 9 | 1^_ 4^_ 9 | 1^__ 4^__ 9 | 1^__ 4^__ 9^__
130	247	dat	2 4 7 | 2^'' 4 7
131	554	er	5 5 4 | 5^'' 5 4
133	723	e	7 2 3
134	697	in	6^__ 9^__ 7 | 6^__ 9^__ 7^__
136	506	tant	5 0^_ 6 | 5^_ 0^_ 6 | 5^_ 0^_ 6^_
138	96	en	9^' 6
140	423	zijn	4^' 2 3
141	405	doch	4^'' 0 5 | 4^__ 0^__ 5
142	420	met	4 2^__ 0 | 4^'' 2 0 | 4^__ 2^__ 0 | ^_ 4^__ 2 0
143	410	welk	4^'' 1 0
145	149	weet	1 4^_ 9 | 1 4^__ 9^__ | 1^' 4 9 | 1^_ 4^_ 9 | 1^__ 4^__ 9 | 1^__ 4^__ 9^__
146	384	ik	3^__ 8^__ 4 | ^_ 3^__ 8^__ 4
150	697	dit	6^__ 9^__ 7 | 6^__ 9^__ 7^__
151	122	nader	1 2 2 | 1^_ 2^_ 2^_
152	893	onderzoek	8 9^__ 3 | 8^' 9 3
154	790	doch	7 9 0
155	424	uiteen	4^_ 2^_ 4 | 4^__ 2^__ 4
156	96	e	9^' 6
157	410	conferentie	4^'' 1 0
158	296	die	2 9 6 | 2^'' 9 6
159	415	ik	4^_ 1^_ 5^_
160	685	met	6^' 8 5 | 6^'' 8 5
161	686	den	6 8 6
162	91	graaf	9 1^_
163	397	o	3 9^__ 7^__ | ^_ 3 9 7
165	618	ter	6^' 1 8
168	460	z	4 6^__ 0 | 4 6^__ 0^__ | 4^__ 6^__ 0 | 4^__ 6^__ 0^__ | ^_ 4^__ 6^__ 0
169	430	es	4^_ 3^_ 0^_
170	435	wek	^_ 4^__ 3^__ 5
171	239	en	2 3 9
173	668	heb	6 6^' 8
177	189	besluit	1 8^' 9 | 1^' 8 9 | 1^'' 8 9
178	280	endat	2^'' 8 0
181	566	vande	5 6 6
182	564	hand	5^'' 6 4 | 5^__ 6^__ 4
183	277	ge	2 7^_ 7^_
184	74	wezen	7^' 4
186	790	worden	7 9 0
