index	group	plain	conf
323	885	des	H
324	146	intelligences	M
325	1016	cet	H
326	91	homme	H
327	202	a	H
328	749	donné	H
329	202	à	H
330	828	ce	H
331	226	negoci	H
332	820	ant	H
333	885	des	H
334	609	ad(resses)	M
335	219	de	H
336	10	sa	H
337	517	main	H
338	31	que	H
339	569	vous	H
340	683	trouver	M
341	1116	ez	H
342	768	dans	H
343	828	ce	H
344	853	pa	M
345	197	que	H
346	787	t	H
347	593	et	H
348	645	un	H
349	898	i	M
350	516	ti	M
351	134992	né(r)	?
352	1008	aire	H
353	966	pour	H
354	878	le	H
355	226	negoci	H
356	820	ant	H
357	739	au	H
358	729	cas	H
359	572	qu'il	H
360	202	?	?
361	859	vou	M
362	1111	lût	M
363	1145	aller	H
364	835	en	H
365	928	bre	H
366	172	ta	H
367	912	gne	M
368	593	et	H
369	31	que	H
370	829	celui	M
371	541	ci	M
372	245	m'	H
373	202	a	H
374	749	donné	H
375	1088	il	H
376	202	a	H
377	447	ajouté	M
378	31	que	H
379	1016	cet	H
380	91	homme	H
381	843	etoit	M
382	202	à	H
383	362	l'a	?
384	663	vez	M
385	569	vous	H
386	966	pour	H
387	1116	(r)ez	H
388	1046	voir	M
389	1159	si	H
390	389	mal	M
391	824	gré	M
392	583	la	H
393	93	differ	M
394	276	ence	?
395	1184	d'etats	M
396	1016	cet	H
397	91	homme	H
398	838	est	H
399	878	le	H
400	565	même	M
401	942	ou	M
402	1159	si	H
403	828	ce	H
404	1068	sont	H
405	265	deux	M
406	454	mon	M
407	797	s	H
408	1058	tre	M
409	797	s	H
410	13	.	H
411	107	le	M
412	878	le?	?
413	226	negoci	H
414	820	ant	H
415	219	de	H
416	1148	ly	M
417	938	on	H
418	695	nom	M
419	208	mé	H
420	10	s(an)	M
421	580	an	?
422	1057	ter	H
423	1017	re	H
424	836	est	M
425	1017	re	H
426	650	ven	M
427	527	u	H
428	1016	cet	H
429	1020	apres	M
430	900	di	M
431	693	né	M
432	744	chez	M
433	727	moi	M
434	593	et	H
435	245	m'	H
436	362	a	M
437	950	porté	M
438	582	l'	H
439	406	em	M
440	1164	pre	H
441	868	in	?
442	856	te	H
443	521	du	H
444	729	ca	M
445	50	che	H
446	787	t	H
447	521	du	H
