line,idx,value
5,28,i
5,29,l?(looped-d-barred)
5,30,o
5,31,c
5,32,h
5,33,-
5,34,i
5,35,o
5,36,u
5,37,e
5,38,n
5,39,a
5,40,to?(t-with-foot)
5,41,c
5,42,t
5,43,o
5,44,-
5,45,?6-bar-p(same sign as L6.47)
6,0,e
6,1,-
6,2,d
6,3,b(m-macron)
6,4,?7-sign
6,5,c
6,6,?b-with-dot(co.?)
6,7,re
6,8,c
6,9,h
6,10,e
6,11,-
6,12,so(m^u)
6,13,-
6,14,no
6,15,-
6,16,-
6,17,m
6,18,o
6,19,l
6,20,t
6,21,i
6,22,et(r-slash)
6,23,g
6,24,r(E-form)
6,25,-
6,26,n(v)
6,27,si
6,28,c
6,29,r(E-form)
6,30,g
6,31,d
6,32,u
6,33,?q-with-tilde(ra/ro?)
6,34,a
6,35,d
6,36,u
6,37,i(3-minim_m)
6,38,e
6,39,i
6,40,?plus-sign
6,41,-
6,42,-
6,43,a
6,44,p
6,45,i(3-minim_m)
6,46,u
6,47,?6-bar-p(co+t?)
7,0,p
7,1,o?(3-form)
7,1b,e(unboxed_//)
7,2,l
7,3,t
7,4,u
7,5,c
7,6,h
7,7,e
7,8,-
7,9,i
7,10,n
7,11,o
7,12,t(round-o)
7,13,-
7,14,t(round-o)
7,15,?tall-s-with-curl
7,16,-
7,17,d
7,18,i
7,19,-
7,20,l
7,21,o
7,22,l
7,23,e
7,24,e(plain-q)
7,25,t
7,26,o
7,27,?z-with-slash(et?)
7,28,l
7,29,i
7,30,a
7,31,l
7,32,t
7,33,r
7,34,i
7,35,r(E-form)
7,36,ra
7,37,t
7,38,o
7,39,n
7,40,-
7,41,-
7,42,a
7,43,no
7,44,?x-with-loop(et?)
7,45,?tall-stroke-with-bar(faded)
8,0,i
8,1,o
8,2,c
8,3,r(E-form)
8,4,n(v)
8,5,l
8,6,o
8,7,ro
8,8,n
8,9,a
8,10,u
8,11,e
8,12,z
8,13,d
8,14,i
8,15,-
8,16,l
8,17,i
8,18,t
8,19,e
8,20,ra
8,21,t
8,22,o
8,23,p
8,24,a
8,25,r
8,26,t
8,27,i
8,28,re
8,29,a
8,30,l
8,31,i
8,32,1
8,33,5
8,34,-
8,35,d
8,36,e
8,37,q
8,38,u
8,39,e
8,40,l
8,41,t
8,42,r
8,43,a
8,44,?tall-s-with-curl
8,45,i
8,46,-
8,47,p
8,48,-
8,49,-
9,0,o
9,1,i
9,2,m
9,3,a
9,4,l
9,5,t
9,6,i
9,7,d
9,8,o
9,9,-
9,10,i
9,11,t
9,12,r(E-form)
9,13,p
9,14,i
9,15,o
9,16,c
9,17,h
9,18,e
9,19,-
9,20,u
9,21,g
9,22,g
9,23,e
9,24,-
9,25,?7-sign
9,26,e(plain-q)
9,27,c
9,28,r
9,29,d
9,30,i
9,31,-
9,32,re
9,33,c
9,34,h
9,35,e
9,36,-
9,37,a
9,38,g
9,39,d
9,40,-
9,41,?m-double-slash(nn?)
9,42,i
9,43,z
9,44,o
9,45,e
9,46,-
9,47,c
9,48,t
9,49,a
9,50,u
9,51,i
9,52,a
10,0,-
10,0b,?u-m_ligature(unboxed)
10,1,-
10,2,e
10,3,nn?(m-slash)
10,4,-
10,5,a
10,6,d
10,7,-
10,8,l
10,9,e
10,10,i
10,11,?n-with-bar
10,12,u
10,13,-
10,14,o
10,15,l
10,16,-
10,17,-
10,18,c
10,19,a
10,20,-
10,21,a
10,22,g
10,23,-
10,24,-
10,25,d
10,26,-
10,27,re
10,28,s
10,29,p
10,30,a
10,31,?m-double-slash(nn?)
10,32,-
10,33,-
10,34,g
10,35,d
10,36,o
10,37,n(v)
10,38,o
10,39,g
10,40,-
10,41,m
10,42,m
10,43,-
10,44,u?(faded)
10,45,-
10,46,?fragment(faded)
10,47,?fragment(faded)
10,48,?fragment(faded)
10,49,-
10,50,?fragment(faded)
10,51,?blot
10,52,?blot
10,53,?fragment(faded)
10,54,?fragment(faded)
10,55,?fragment(faded)
10,56,-
10,57,-
10,58,?tall-stroke(faded)
10,59,?fragment(faded)
10,60,-
10,61,?fragment(faded)
