line_no	cipher_words	gloss_words
14	O+.X.U2.3.X.B.OD.HH W.M.OD.W.HH.U2.O+ X.O+.HH W.X.O+.OD.AST AST.X.D.3.AST.X OD.D O+.U2.OD D.M.O.3.N.3.OD U2.B.3 3.N 3.O+.HH.M OD.U2.M?	'' '' '' '' '' '' '' '' '' '' '' ''
15	AST.X.D.3.HH.U2 AST.X.9.3.Q.U2.3.HH AST.X.Z.3.X O.OD.3.X.O+.HH.OD.HH.3 AST.X.Z.N.U2.O H.N.Z.OD.AST.3.X W.U2.O M.O.N.3.B.U2.O+ Q.U2.X	'' '' '' '' '' '' '' '' ''
16	OD.D 3.9.9.U2.D EQ.X.AST.HH.3.N.X.N.HH AST.X.9.3.Q.U2.3.HH Q.U2.3.N.Q.U2.OD.Z.3.N.HH.OD O.OD.W.H.3.N.OD.O+ X.HH EQ.U2.9.U2.X.AST.U2.O	'' '' '' '' '' '' '' ''
17	U2.N.U2.O O?.3.9.9.X W.X.N.HH.X.N.OD.AST.3.M.AST.U2.O EQ.AST.X.HH.X.AST.X.OD M.AST.D.3.N.OD.U2.3.HH Z.X.N.HH.X.O+ HH.M.HH Q.U2.M.HH	'' '' '' '' '' '' '' ''
18	X.AST.U2.N.HH N.X.W.X.O+.O+.OD.AST.3.X N.OD.O EQ.M.O+.HH.Q.U2.OD.O N.U2.O+ Q.U2.OD.O OD.9.3.U2.N.D.X Z.X.N.HH.X.O+ H.OD.B.X.AST.X	'' '' '' '' '' '' '' '' ''
19	EQ.M.O+.O+.U2.O.U2.O+ M.EQ.M.AST.HH.X.HH N.M.O+ U2.HH.3 Q.U2.3.B.U2.O+ EQ.M.O+.O+.U2.O.U2.O+ EQ.AST.X.O+.X.AST.HH.3.O W.U2.O	'' '' '' '' '' '' '' ''
20	HH.OD.O T.OD.U2.X.N.HH.X.O N.M.B.3.O+ H.OD.B.X.O.O.U2.O+ 3.EQ.O+.U2.O W.X.O+.OD.AST.X.O Q.U2.3 N.M.N OD.9.3.M 9.M.W.M U2.U2.9.HH	'' '' '' '' '' '' '' '' '' '' ''
21	H.OD.B.X.AST.X DAG Q.U2.OD.O 9.M.W.M T.AST.OD.HH.AST.3.O+ O+.U2.3 3.D Q.U2.M.D O+.OD.HH.3.O+ N.U2.N.W D.X.W.9.OD.AST.OD.U2.3.HH	'' '' '' '' '' '' '' '' '' '' ''
22	3.N D.OD.N.D.M H.M.W AST.X.Z.N.M O+.U2.X O.OD.3.X.O+.HH.OD.HH.3 O+.3.N.X U2.9.9.M HH.AST.3.B.U2.HH.M O+.3.N.X U2.9.9.3.O+ W.M.N	'' '' '' '' '' '' '' '' '' '' '' ''
23	D.3.W.3.M.N.3.B.U2.O+ X.HH N.U2.N.W Q.U2.3.D.X.O HH.M.HH.M H.M.W HH.X.O.EQ.M.AST.X X.XH.EQ.X.W.HH.OD.B.OD.HH W.X.O+.OD.AST	'' '' '' '' '' '' '' '' ''
24	VASE Q.U2.3 OD.D EQ.AST.X.9.3.U2.O W.X.O+.OD.AST.X.O EQ.AST.M.U2.M.W.OD.U2.3.HH EQ.AST.M.O.3.HH.HH.X.N.O+ O+.X 3.9.9.3 M.B	'' '' '' '' '' '' '' '' '' ''
25	U2.3.OD.O U2.X.N.HH.U2.AST.U2.O O+.X.D N.3.O+.3 3.N.HH.X.AST.3.O T.3.OD.HH W.M.N.W.M.AST.D.3.OD 3.N.HH.X.AST DAG X.HH BIGX	'' '' '' '' '' '' '' '' '' '' ''
26	D.3.XH.3.HH O+.X EQ.AST.M T.U2.HH.U2.AST.OD X.O+.HH.OD.HH.X O+.X.D OD.9.3.Q.U2.OD.N.HH.M O.OD.HH.U2.AST.3.U2.O+ X.HH 9.M.N.Z.X OD.9.3.M	'' '' '' '' '' '' '' '' '' '' ''
27	OD.EQ.OD.AST.OD.HH.U2 OD.D M.EQ.EQ.U2.Z.N.OD.N.D.U2.O D.M.O.3.N.3.OD BIGX Q.U2.OD.O U2.X.N.X.AST.OD.HH OD.D W.M.N.O+.X.AST.U2.OD.N.D.U2.O	'' '' '' '' '' '' '' '' ''
28	O.OD.N.U2.O+ W.U2.O 3.9.9.M U2.X.N.HH.U2.AST.U2.O U2.B.3 Q.U2.X.O.OD.D.O.M.D.U2.O N.U2.N.W N.3.H.3.9 EQ.OD.O+.O+.OD X.O+.HH D.X?.O.O	'' '' '' '' '' '' '' '' '' '' ''
29	T.3 3.N N.M.B.3.O+ O+.U2.3.O+ U2.X.O+.HH.AST.OD 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.OD D.M.O.3.N.OD.W.3.M 3.HH.OD N.X Q.U2.X 3.N T.U2.HH.U2=	'' '' '' '' '' '' '' '' '' '' '' ''
30	AST.U2.O Q.U2.3.D.Q.U2.OD.O HH.3.O.X.AST.X D.X.B.X.B.3.HH N.X.Q.U2.X U2.9.9.U2.O+ OD.9.3.U2.O+ Q.U2.3 O.M.D.M N.M.N D.X.D.X=	'' '' '' '' '' '' '' '' '' '' ''
31	AST.3.N.HH OD.U2.XH.3.9.3.OD BIGX D.X O.X U2.X.AST.M 3.HH.OD O+.3.B.3 EQ.X.AST.O+.U2.OD.D.X.OD.HH U2.X.O+.HH.AST.OD 3.9.9.U2.O+.HH.AST.3.O+.O+.3.O.OD	'' '' '' '' '' '' '' '' '' '' ''
32	D.M.O.3.N.OD.W.3.M Q.U2.M.D O+.U2.O X.HH X.O+.O+.X U2.M.9.M N.M.?.U2.O+ O+.X.AST.U2.3.HH.M.AST U2.X.O+.HH.AST.X 3.9.9.U2.O+.HH.AST.3.O+=	'' '' '' '' '' '' '' '' '' ''
33	O+.3.O.X D.M.O.3.N.OD.W.3.M.N.3.O+ W.U2.3 O.X D.3.9.3.Z.X.N.HH.3.O+.O+.3.O.X X.HH X.XH OD.N.3.O.M W.M.O.O.X.N.D.M B.U2.D.X U2.3.Z.X	'' '' '' '' '' '' '' '' '' bude uige
34	O+.3.O.OD Q.U2.OD.AST.HH.OD N.M.U2.X.O.B.AST.3.O+ OD.N.N.M O.3.9.9.X.O+.3.O.M[+blot] Q.U2.3.N.Z.X.N.HH.X.O+.3.O.M U2.3.Z.X.O+.3.O.M N.M.N.M	sima quarta nouembris anno mill quingentesimo uigesimo nono?
35	H.M.W X.O+.HH X.XH.X.O.EQ.9.U2.O 9.3.HH.X.AST.OD.AST.U2.O OD.D 3.9.9.U2.O+.HH.AST.3.O+.O+	'' '' '' '' '' ''
36	D.M.O.3.N.U2.O T.AST.X.D.X.AST.3.W.U2.O 3.O.EQ.X.AST.3.3 W.OD.EQ.3.HH.OD.N.X.U2.O	'' '' '' capitaneum
37	O+.X.U2?.3.HH.M.AST O+?.W.AST.3.EQ.O+.3.HH U2.X.O+.HH.AST.X 3.9.9.U2.O+.O+?.HH.AST.3.O+.O+ D.M.O.3.?.OD.W.3.M.N.3.O+ H.3.X.AST.M.N.3.O.U2.O+ D.X 9?.OD.O+.W.M	seruitor ?cipsit uestre illustris ...nis '' ... lasco
