# THE=454 key (Yale OSB MSS fc37 Box 18 f.47, OID 2046948). Format: start: e1|e2|...  consecutive numbers skipping those ending 5 or 9.
# empty slot = blank (unassigned). '=' prefix none. Handwritten entries marked with *.
# ---- col1 letters
3: a|a|a|a|a|a
1442: imploy|imply|Ireland|Irish|*India
1448: K. of France|K. of Spain|K. of the Romans|
1453: Lady|little|letter|let it|language
1460: memorial|master|market|material|merchandise|moderat
1467: navy|Nation|never|Naples|*Ninety
1473: object|oppos|occur|obey|ordinary
1480: people|prepare|possib|pistol|powder|presumption|
1488: ||
1492: receive|refer|Regiment|*refus|remain|refitting
1500: sincer|sort|success|secret|secresy|severe|Sea|*Seventeen
1510: twenty|tamper|temper|through|to the|towards|
1518: Victory|voyage|unless||utmost
1524: would|wealth|will be|will not|whole|
1532: ||
1536: *Your||
1540: zound||
# ---- col10
1543: answer|associat|among|Admiral|admire|advice
1551: base|blind|blow|borrow|blast|*Bart Captain
1558: Colonel|counsel|carefull|careless|contribut|conference|*Chancellor Lord
1567: danger|deliver|design|defeat|difficult|determin
1574: Elector|English|England|exact|extravagant|enterprize
1582: *four?|France|?foreign(fold)|fortifi|freedom|
1590: Germain|Garrison|Genoua|*Griffin Lord|
1596: having|honour|Holland|hers|*Honourable
1602: inform|import|Island|inflict|Jesuit
1608: K. of Poland|K. of Sweden|K. of England|
1613: labour|loyal|*Castle?|leader|lessen
1620: matter|Majesty|message|mediat|Milan|Madrid
1627: necessity|necessary|numerous|number|notwithstanding
1633: opportun|occasion|obedience|obstacle|*Oropesa Conde
1640: promis|present|perform|proclaim|prejudic|perceive|promotion
1648: qualification||
1652: remonstra|rendevous|reciprocal|rescind|refine|Regent
1660: seaven|supply|Spain|Stockholme|seldom|Summer|slight|strife
1670: trouble|thirteen|twelve|to be|themselves|thus|Train
1678: victual|venture|vigilent|Venice|*Vaudemont P.
1684: Welch|winter|warrant|welfare||
1692: ||
1696: *Your Lordship||
1700: zealous||
# ---- col11
1703: affair|acquaint|abstain|abscond|absen|Artillery
1711: Bassa|blame|Bishop|bounty|*Bouillon Card.|*Bonrepos
1718: Commission|confide|confidence|confusion|Caball|command|*Conde Prince
1727: disguise|disburse|dispatch|discover|defensive|*distinct
1734: Excellence|expectation|excuse|extreme|expel|*Eighteen
1742: fortun|French|?(fold)|*faile|fatall|*fortunate
1750: general|gracious|grief|grievous|
1756: harbour|happen|hundred|happi|*Hemskerke
1762: instruct|journey|intimat|*Import|Instrument
1768: K. of Portugal|K. of Denmark||
1773: liberty|London|late King|late Queen|Lisbon
1780: Minister|Marquis|Money|meddle|manage|*Mantua D.
1787: nevertheless|noble|Nobility|Neuter|*Nancy
1793: opinion|overture|obscur|obtain|
1800: private|Princes|Parliament|Portugal|particular|prohibit|prolong
1808: Q. of France|Q. of Spain|Q. of the Romans
1812: resistance|restrain|render|rescue|respit|Resident
1820: service|Swede|Spanish|Succour|Servant|sure|starve|sterling
1830: thousand|thought|trouble|trust|truth|true|travel
1838: undertake|understand|undergo|Vienna|*Vauban
1844: whosoever|whatsoever|whensoever|wherefore||West-Indies
1852: ||
1856: yesterday|yesternight|
1860: Zealand||
# ---- col12
1863: alternative|artifice|amicable|ambition|ambitious|Amsterdam
1871: Bavaria Elector|Brandenburg|Bohemia|Belgrade|Buda|*Berwick D.
1878: carry|capitulat|condition|Copenhagen|Commissioner|*Chateaurenaud|*Collegue
1887: disgrace|discharge|disagre|dissemble|dissimulation|detention
1894: entertain|enter|embrace|enable|equal|exclude
1902: faction|favour|?(fold)|*few|find|forbear
1910: Governor|groundless|||*Gloucester D.
1916: |His Majesty|Her Majesty|Hanover|
1922: interest|integrity|insinuat|imperfect|Italian
1928: |||
1933: licence|*League|*Lexington L.|Liege|
1940: magazin|manifest|magnify|*Melford Ld|*Middleton Ld|*Manchester E.
1947: negotiat|need|needful|neighbour|
1953: oblivion|omitt|omision|offensive|Ordinance
1960: Pardon|*particular|prescribe|preclude|prevail|prevaricat|possession
1968: *Q. Mary||
1972: River|Rhine|raine|repose|reply|Ratisbonne
1980: sufficien|Souldier|Scotland|Swiss|Spaniard|Swisserland|Steward|stipulation
1990: treason|*traitor|task|tell|told|Truce|tyrant
1998: untimely|unmask|usefull|*uninhabited|
2004: withstanding|whither|why not|whisper||
# ---- col13
2023: Ambassador|ambiguous|*Auersberg Envoy|*Apaffi Pr.|appoint|Arch Bishop
2031: Baden P. Lewis|*Breiner C.|*Boufflers|*Borgomanero C.|Brigadier|*Beauvilliers D.
2038: Christendom|*Carlingford C.|*Castel?|*Croy D.|Circle|*Chateauneuf|*Choiseul M.
2047: distress|dissolve|Dutchy|Dutchess|Dragoon|draught
2054: endeavour|*Eugene Pr.|Esseck|exercise|evening|
2062: Francfort|Flanders|follow|?(fold)|forsake|Florence Duke
2070: *Goertz Baron|*Galway Ld|||
2076: heretofore|hereafter|henceforth||
2082: Impos|instill|inforce|infringe|Intention
2088: *Kinski C.|*Kaunitz C.||
2093: Landgrave|Luxemburg|Lorraine|*Lorge Duke|
2100: Meuse|Munition|Munster|Mediterranean|*Maine Duke|*Marli
2107: Notable|*Noailles M.|*needless||Neutrality
2113: *Orleans D.|original|obstruction||
2120: Plenipotentiary|*Pager Ld|President Ld|privilege|preliminary|pretension|*Polish Minr
2128: Q. of Poland|Q. of England|Q. of Portugal
2132: rob|remedy|refund|responsible|revenge|
2140: *Staremberg C.|Swabia|Saxony|*Schoning Gen.|*Shrewsbury Ld|*Save?|subsist|support
2150: *Teckoli|Transilvania|*Trenchard S.|*Tallard C.|Toulon||
2158: usuall|unkind|unwilling|value|uproar
2164: Westphalia|*Windisgratz C.|*Wallestein C.|*Waradin|Wales|*Wirtemberg D.
2172: ||
2176: ||
2180: ||
# ---- col14 (mostly handwritten)
2183: *Anjou Duke|Audience|Alliance|*Almirante de Castilla||
2191: *Burgundy D.|*Berry D.|*Barbesieux|*Burgundy Duchess|*Berlips Countess|*Bergeick Count
2198: *Chartres Duke|Cessation|consequence|conjuncture|*Catinat Mar.||
2207: Dauphin|*Duras Duke|*Dutch Minister||*Danish Minister|
2214: *Estrees Mal|*exclusive|Evasion|*Emperors Minister||
2222: ||*Foreigne?||*Fontainbleau|
2230: German|Geneva|*Guiscard Comte||
2236: ||*Harcourt Marq.|*Harach Comte|
2242: *Immoderate|Injunction|Immoveable|Improve|*Imprisonment
2248: |||
2253: *Leganes Marq.|*Lorrain Duke|*La Chaise Pere||
2260: *Monterey Conde|*Maintenon|*Martinitz Comte|Marseilles||*Monaco P.
2267: notice|notification|*Nuncio at Paris|*Neufchatel|
2273: *Orleans Dutchess||||
2280: *Pontchartrain|*Pomponne Marq.|*Pensioner of Holland|*Privy Seal Ld|||
2288: *Quiros Don||
2292: riot|rifle|Republick|*represent|redress|recompense
2300: Savoy D.|States General|Sultan|*Spanish Minister|*Savoy Minister|||*Swedish Minister
2310: *Toledo Card.|*Torcy Marq.|*Toulouse Count|*Tourville Mar.|||
2318: *Villars Marq.|*Versailles|*Villeroy Mar.||
2324: *Wales pretended P.||||*Wolfenbuttle D.
2332: |||
2336: |||
2340: |||
