653	lig	m
654	Lord	h
655	legation, Secre[tarius]	m
656	lien? [lion]	l
657	Mr. Moroille [Morville]	m
658	Majus	h
659	Monarch:ie	h
660	Martius	h
661	Marquis	h
662	Miquelets	h
663	Marggraff	h
664	March:iren	m
665	Mayland:isch	h
666	Mann:schafft	m
667	Maynz:isch	h
668	Madrit	h
669	Mecklenburg	h
670	macht:ig	h
671	Mediator:ion	m
672	Mylord	h
673	missverstand:nus? [mü...ständnus]	l
674	Marschall	h
675	machen	m
676	Mayt.	h
677	madame	h
678	mons:r, monsgr	m
679	man	m
680	mehr	h
681	Minister:ium	h
682	Moscau:witer	m
683	mich	h
684	mit	h
685	mir	h
686	mein	h
687	Münster:isch	h
688	Mähren	m
689	mission	h
690	meist:en? [mächt:en, maßl:en]	l
691	munition	h
692	München	h
693	Mosel	m
694	Metz? [Maltz]	l
695	Meyster	m
696	Mayn	m
697	Mantua	h
698	Mardick	h
699	G. V. Mo[t]sch? [unclear name]	l
700	gl. Mercy	h
701	Million	h
702	Nach:dem	h
703	nach:st	m
704	nicht	h
705	noch	h
706	nun	h
707	nur	h
708	neun:ter	h
709	neunzehn	h
710	neunzig:ter	h
711	nation:al	h
712	Niederland	h
713	Nord:en	h
714	Neapel	h
715	negotiation:iren	m
716	neutral:ität	h
717	noth:durfft:nöthig	m
718	November	h
719	nieder	h
720	Nuncius	h
721	nutz:lich	h
722	nachdruck:lich? [nachricht:lich]	l
723	Nürnberg	h
724	Nancy	h
725	Namur	h
726	Norwegen:isch	m
727	Norris	h
728	comma	h
729	Ober	h
730	Obrist:er	m
731	oder	h
732	ohne	h
733	offt	h
734	orth	h
735	ordre:nen:ung	m
736	offert:iren	m
737	officier	h
738	october	h
739	ombrage	h
740	Österreich:en:isch	m
741	Osnabrück	h
742	Ottoman:isch	h
743	Osten	h
744	orient:al	h
745	occident:al	h
746	olive:isch? [olim]	l
747	offensiv	h
748	oberpfaltz	h
749	D. Orleans	h
750	obwohl:schon	m
751	Mr. Prie	h
752	Paris	h
753	Prinz	h
754	J. Päbstl. Heylig.	m
755	pass:iren	m
756	passage	h
757	Parlement	h
758	parthey:partie	m
759	Pfaltz:isch	h
760	pferdt	m
761	particular	h
762	praetension:diren:dent	m
763	praesid:ent:iren	m
764	plenipotenz:tiarius	h
765	Port	h
766	Pforten	m
767	Pohlen:isch	h
768	Portugal:äisch? [esisch]	m
769	Preussen:isch	h
770	platz	m
771	provinz	h
772	project	h
773	propos:ition:iren	h
774	public:iren:ation	h
775	proviant	h
776	Pampeluna	h
777	Piemont:esisch	h
778	Pair	h
779	Philipsburg	h
780	principal	h
781	pension:air	h
782	protest:iren:ant:ation	m
783	p.te cum comate	m
784	Quadruple	h
785	quartier	h
786	quantum	h
787	question	h
788	quantität	h
789	punctum	h
790	Rung? [Rang]	l
791	rand? [rund]	l
792	ratifi:ciren:cation	m
793	Ragotzy	h
794	Ritter:schafft	h
795	Regent	h
796	Rath	h
797	Regier:ung	h
798	Republique	h
799	Reich	h
800	Regensburg	h
801	recht	h
802	Resident:iren	m
803	Regiment	h
804	religion	h
805	restitut:iren:ion	m
806	Reichs Stadt	h
807	resolution:iren	m
808	Ryswick:isch	m
809	Rhein	h
810	reyss:en? [weiss:en]	l
811	Rastatt	h
812	rasiren	m
813	Rom	h
814	Robethon	h
815	Rheinfels	m
816	p.tu cum comate	m
817	Mr. Schaub	h
818	Mr. St. Saforin	h
819	Stanhop	h
820	Stairs	h
821	Card: Saxen Zeitz	h
822	Card: Schrotenb[ach]	m
823	sechs:ter	m
824	sechzehn:der	m
825	sechzig	m
826	September	h
827	Savoyen	h
828	Sachsen:isch?	l
829	Satisfaction:iren	h
830	Schweden:isch	h
831	Schwerin	m
832	Schonen	m
833	schreiben	h
834	schiff	h
835	siegel	m
836	Mr. Seneterre	h
837	schafft? [schrifft]	l
838	Schlesien	h
839	Schwaben:isch	m
840	Schweitz:er:isch	m
841	Secret:ät?:arius	m
842	Statthalter:ey	m
843	Statt	m
844	Staat	h
845	Senat	h
846	Stockholm	h
847	Stralsund	h
848	Stettin	h
849	seyn:sein	m
850	sieben:der	m
851	siebenzehn	m
852	siebenzig	m
853	Stanislas	h
854	Spannien:isch	h
855	Standt	m
856	Stifftung? [Beystung]	l
857	Schottland	h
858	sonst	m
859	sondern:auch	m
860	Sie	m
861	sich	h
862	sollen	h
863	solche:den?	l
864	schick:en:ung	m
865	Sultan	h
866	Summa:arisch	m
867	Success:sion	m
868	sion	m
869	sité:sität	m
870	Succurs:iren	m
871	Stub? [Staub]	l
872	H. g. Sinzendorff Hoffkantzler Ex.	m
873	H. g. Schönborn RVC. Ex.	m
874	Siebenbürgen	h
875	Strassburg	h
876	Steyer	h
877	schliessen:schluss	m
878	Sardinien	h
879	Sicilien	h
880	Sund	h
881	H. g. Stella	h
882	g. Schlick E[x].	m
883	Tag	h
884	Tausend	m
885	Tractamenthal? [unclear T-word ending -thal]	l
886	Tönningen	m
887	Tartarey:isch	m
888	Teutsch:en:land	m
889	Teutschmeister:thum	m
890	Tractat:iren	h
891	Trouppen	h
892	Theil	h
893	Thorn	m
894	Thun	m
895	Toscana:isch	h
896	Torris	m
897	Türcken:isch	h
898	Transport:iren	h
899	tion	m
900	tät	m
901	Trier	h
902	H. g. O.H.M. Trautson	m
903	titul	h
904	duo p.ta	h
905	Vor? [Ver, Von]	l
906	Verden	m
907	Verfass:ung?	l
908	Vizir	h
909	unmittelb[ar]?	l
910	Viel	m
911	Vielleicht	m
912	Volck	m
913	vier:ter	h
914	vierzehn:der	h
915	vierzig	h
916	universal	h
917	unter	h
918	vor	h
919	vorder	m
920	Vortheil:hafft	m
921	Vergleich:en	m
922	Vollmacht	m
923	victorie:siren	m
924	vice	h
925	undt	m
926	undt	m
927	von:vom	m
928	über	h
929	ung	m
930	visite	h
931	übrig	h
932	Utrecht	h
933	Venedig:dian	m
934	uns	m
935	Ulm	h
936	g. Virmont	h
937	duo p.ta	h
938	Weixel	h
939	Wetzlar:isch? [Wyz-sachen:isch]	l
940	Wolffenbüttel	h
941	H. g. Windischgrätz Hoff Kr. Pres. Ex.	m
942	Wien:er:isch	h
943	Wirtemberg	h
944	Würtzburg	h
945	wahl:en	m
946	wissen	h
947	wir	h
948	werden	h
949	Westphalen? [Weissfalt]	l
950	Wissmar	h
951	weil	h
952	will:wollen	h
953	wormit	h
954	würde	h
955	wurde	m
956	wäre? [waren]	m
957	wie	h
958	wegen	h
959	Worms	h
960	P. Wallis	h
961	H. g. Windischgr[ätz]	m
962	wenn? [wann; superscript "abgereiset"?]	l
963	wochen:tlich	m
964	zwey:ter	h
965	zwantzig:ter	h
966	zwölff	h
967	zwischen	h
968	zahlen	m
969	zehn:ter	h
970	zum:zur	m
971	ziffer	h
972	zu fuss	h
973	zu pferd	h
974	zusammen	h
975	zwar	h
976	Zelande	h
977	zustehen? [zuziehen, zutehen]	l
978	(blank)	h
979	(blank)	h
980	(blank)	h
981	(blank)	h
982	(blank)	h
983	(blank)	h
984	(blank)	h
985	(blank)	h
986	(blank)	h
987	(blank)	h
988	(blank)	h
989	(blank)	h
990	(blank)	h
991	(blank)	h
992	(blank)	h
993	(blank)	h
994	(blank)	h
995	(blank)	h
996	(blank)	h
997	(blank)	h
998	(blank)	h
999	(blank)	h
